PUMFID;CERTLEVP;REG_INST;REG_RESP;PGMCIPAP;PGM_P034;PGM_P036;PGM_P100;PGM_P111;PGM_280A;PGM_280B;PGM_280C;PGM_280D;PGM_280E;PGM_280F;PGM_290;PGM_350;PGM_380;PGM_P401;PGM_410;PGM_415;PGM_430;COV_010;COV_070;COV_080;EDU_010;EDU_P020;HLOSINTP;STL_010;STL_020;STULOANS;STL_030;OWESLGD;OWEGVIN;STL_080;STL_100A;STL_100B;STL_100C;STL_100D;STL_130;STL_150;STL_160B;STL_160C;STL_160D;STL_160E;STL_160F;STL_160G;STL_160H;STL_160I;STL_160J;STL_160L;STLP160N;SRCFUND;STL_170A;STL_170B;STL_170C;STL_170D;STL_170E;STL_170F;STL_170G;STL_170H;STL_170I;STL_170J;STL_170L;STLP170N;RESPP;STL_190;DBTOTGRD;DBTALGRD;DBTOTINT;DBTALINT;SCHOLARP;LMA_010;LFSTATP;LMA2_07;LMA3_P01;LFCINDP;LFCOCCP;LFWFTPTP;LMA6_05;LMA6_08;JOBQLEVP;JOBQLGRD;JOBQLINT;LMA6_11;LMA6_12;LMA6_13A;LMA6_13B;LMA6_13C;JOBINCP;LMA6_15;AFT_P010;AFT_P020;AFT_P040;AFT_050;AFT_070;AFT_080;AFT_090;BEF_P140;BEF_160;PREVLEVP;HLOSGRDP;PAR1GRD;PAR1INT;PAR2GRD;PAR2INT;GRADAGEP;GENDER2;MS_P01;MS_P02;CTZSHIPP;VISBMINP;PERSINCP;DDIS_FL;WTPF;VERDATE
59130;3;4;4;5;1;6;2;6;2;2;2;2;2;1;1;2;2;1;1;3;1;2;1;1;2;6;3;2;6;2;3;6;6;6;6;6;6;6;6;6;2;2;2;2;1;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;1;3;3;3;3;6;2;1;2;1;7;2;1;1;7;0;1;1;1;1;2;5;1;3;1;6;6;6;6;6;6;6;1;4;2;3;3;3;1;1;2;2;1;2;3;1;3;2;13.7503;15MAY2024
59131;1;2;2;10;1;6;1;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;4;1;1;1;1;2;6;2;4;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;3;3;0;0;6;2;1;2;1;4;4;1;1;3;1;2;2;1;1;2;4;4;2;1;6;6;6;6;6;6;6;3;3;6;1;2;2;2;2;1;2;1;2;1;2;99;1;23.3146;15MAY2024
59133;1;2;2;4;2;1;1;3;1;2;2;2;2;2;1;2;2;1;2;2;1;6;1;2;1;2;1;2;6;2;1;6;6;6;6;6;6;6;6;6;2;2;2;2;1;2;2;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;1;2;2;7;5;1;6;96;6;6;6;1;6;6;6;6;96;6;0;6;6;6;6;6;6;1;6;6;1;9;1;9;9;4;2;1;1;2;1;1;2;18.7858;15MAY2024
59135;1;3;3;7;1;6;2;6;2;2;2;2;2;1;1;1;2;1;5;3;1;2;1;1;2;6;1;2;6;2;3;6;6;6;6;6;6;6;6;6;2;2;2;2;1;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;1;3;3;2;2;6;2;1;2;1;4;3;1;1;1;1;2;2;1;2;2;3;2;3;2;1;1;1;1;1;6;3;4;2;6;1;3;3;2;2;1;1;2;2;3;1;2;1;114.2353;15MAY2024
59137;1;1;1;9;1;6;1;2;2;2;2;2;2;1;1;1;2;1;3;3;2;2;4;2;2;6;1;1;1;1;96;3;3;2;2;2;1;6;4;2;2;2;2;2;2;2;2;2;2;2;1;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;6;3;6;2;1;2;1;7;2;1;1;7;1;2;2;3;2;1;1;2;3;2;1;1;1;1;1;6;1;3;6;6;1;1;1;1;1;2;2;1;1;1;2;2;1;10.8059;15MAY2024
59138;2;4;4;5;1;6;2;6;2;2;2;2;2;1;1;2;2;2;99;2;1;2;2;2;2;6;2;1;1;1;96;2;1;2;1;2;2;6;2;2;2;1;2;2;2;2;2;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;1;6;2;1;2;1;3;2;1;1;1;0;1;1;1;2;1;1;1;4;1;6;6;6;6;6;6;6;1;3;1;2;2;2;2;2;3;2;1;1;3;1;2;2;11.4904;15MAY2024
59139;2;4;4;2;1;6;2;6;2;1;2;2;2;2;1;1;2;1;4;3;2;2;3;1;1;1;3;1;1;1;96;3;3;2;6;6;6;1;5;2;2;1;2;1;1;2;1;2;2;2;2;3;1;6;1;6;2;2;6;2;6;6;6;6;6;1;1;3;1;3;1;2;1;2;1;3;7;1;1;6;0;1;1;3;1;2;1;1;3;2;1;1;1;2;2;2;2;3;1;6;2;3;2;1;1;1;1;1;2;1;2;1;1;26.8406;15MAY2024
59144;2;1;1;9;1;6;1;2;2;2;2;2;2;1;1;2;2;2;3;1;1;2;1;2;2;6;2;1;1;1;96;4;4;1;1;1;2;6;5;2;2;2;2;2;2;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;1;3;4;3;4;6;2;1;2;1;7;4;1;1;1;2;2;2;1;2;2;4;2;3;1;6;6;6;6;6;6;6;1;6;1;2;3;3;2;2;3;2;2;1;1;2;3;2;10.2121;15MAY2024
59145;2;4;4;9;1;6;1;2;1;2;2;2;2;2;1;1;2;2;4;3;1;2;4;1;2;6;2;2;6;2;1;6;6;6;6;6;6;6;6;6;2;2;2;1;1;2;1;2;2;2;2;3;2;6;6;6;1;1;6;2;6;6;6;6;6;1;3;3;3;3;4;2;1;1;1;6;5;2;1;8;0;1;1;3;1;1;4;1;1;2;4;1;1;2;1;6;3;3;6;6;2;2;2;1;1;1;2;1;2;1;2;2;1;26.2513;15MAY2024
59146;2;1;1;4;1;6;2;6;2;2;2;2;2;1;1;2;2;2;4;3;2;2;4;1;2;6;2;1;1;1;96;4;3;1;6;6;6;1;4;2;2;2;2;1;2;2;1;2;2;1;2;3;1;6;6;6;2;6;6;2;6;6;1;6;6;2;6;4;6;3;1;2;1;2;1;7;2;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;1;1;2;2;2;3;2;6;2;1;1;1;1;1;2;2;2;1;2;99;1;10.3937;15MAY2024
59147;2;4;4;9;1;6;1;2;2;2;2;2;2;1;1;1;1;2;3;3;1;2;1;1;2;6;2;1;1;1;96;3;3;2;1;2;2;6;3;2;1;2;2;1;1;2;2;2;1;2;2;3;1;1;6;6;2;2;6;6;6;2;6;6;4;6;6;3;6;3;2;2;1;2;1;7;5;1;1;7;2;2;2;1;2;1;4;1;2;2;2;2;1;2;1;6;3;1;4;6;2;3;3;1;1;1;2;2;2;1;2;3;1;33.8207;15MAY2024
59148;1;2;2;4;1;6;1;3;2;2;2;2;2;1;1;2;2;2;2;4;1;2;1;1;2;6;1;2;6;2;1;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;2;1;2;1;7;5;1;1;3;1;2;2;1;2;1;5;1;2;1;6;6;6;6;6;6;6;3;4;6;1;1;1;1;1;1;2;1;2;1;2;2;2;22.6207;15MAY2024
59149;2;4;4;9;1;6;1;2;2;2;2;2;2;1;1;1;2;1;2;1;2;6;4;2;2;6;2;1;1;1;96;4;1;2;6;6;6;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;6;1;6;2;1;2;1;7;4;1;1;5;2;2;2;1;2;2;3;1;5;1;6;6;6;6;6;6;6;1;6;6;2;2;2;2;2;2;2;2;2;2;1;5;2;30.4938;15MAY2024
59150;1;4;4;10;1;6;2;6;2;2;2;2;2;1;1;1;2;1;9;2;1;1;2;1;1;2;2;1;1;1;96;0;3;6;6;6;6;6;6;2;2;1;2;1;1;2;2;2;2;2;1;3;1;6;2;6;2;2;6;6;6;6;6;1;6;6;6;0;6;3;1;1;3;6;6;96;96;6;6;96;6;6;6;6;6;6;6;6;96;6;1;4;1;1;2;2;1;3;2;6;1;1;1;1;1;1;1;2;2;1;2;1;2;21.8061;15MAY2024
59151;2;3;3;4;1;6;2;6;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;3;1;1;1;96;4;4;2;6;6;6;1;5;1;2;2;1;1;1;2;1;1;2;2;2;3;1;6;6;2;2;2;6;2;1;6;6;6;6;2;3;4;2;4;1;2;1;2;1;7;4;1;2;1;3;3;2;2;2;3;4;4;4;1;6;6;6;6;6;6;6;3;6;6;2;1;1;1;1;1;2;2;2;1;2;1;1;89.2139;15MAY2024
59152;3;1;1;2;1;6;2;6;2;2;2;1;1;2;1;2;2;1;4;1;2;6;1;2;2;6;3;2;6;2;4;6;6;6;6;6;6;6;6;6;2;2;1;2;1;2;1;1;2;2;2;3;2;6;6;2;6;2;6;1;1;6;6;6;6;1;4;4;0;0;6;2;1;2;1;4;3;1;1;7;3;2;2;2;2;3;3;3;4;2;2;2;1;1;1;6;3;1;4;9;3;2;2;2;2;2;1;1;2;9;1;4;1;10.1429;15MAY2024
59153;3;3;3;4;1;6;2;6;2;2;2;2;2;1;1;1;2;1;1;3;2;2;1;2;2;6;3;2;6;2;1;6;6;6;6;6;6;6;6;6;1;2;2;1;1;1;2;2;2;2;2;3;2;1;6;6;1;2;2;6;6;6;6;6;4;6;6;6;6;6;4;2;1;2;1;3;5;1;1;1;3;1;1;1;2;1;2;2;4;1;6;6;6;6;6;6;6;3;5;3;3;1;1;1;1;3;1;1;2;1;2;4;1;10.6376;15MAY2024
59154;3;2;9;5;2;1;2;6;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;2;1;1;3;1;1;1;96;0;0;6;6;6;6;6;6;2;2;2;2;2;1;2;2;2;2;1;2;3;2;6;6;6;6;1;6;6;6;6;1;6;6;6;6;0;6;0;6;1;1;2;1;3;2;1;1;1;2;1;1;2;2;2;2;1;4;2;2;1;1;1;1;6;2;1;6;2;3;1;1;1;1;3;2;2;2;2;1;99;2;11.8602;15MAY2024
59155;2;1;1;6;1;6;2;6;2;2;2;2;2;1;1;2;2;1;3;3;1;6;2;2;2;6;2;1;1;1;96;3;3;2;2;1;2;6;5;2;2;2;2;1;1;2;2;2;2;2;2;3;1;6;6;6;2;1;6;6;6;6;6;6;6;6;6;3;6;3;1;2;1;2;1;2;7;1;1;7;0;9;1;3;1;2;2;1;2;1;6;6;6;6;6;6;6;9;99;9;9;9;9;9;9;1;2;9;9;9;9;99;2;11.2156;15MAY2024
59156;2;4;4;7;1;6;2;6;2;2;2;2;2;1;1;1;2;2;3;3;1;2;5;1;1;2;2;1;1;1;96;0;3;6;6;6;6;6;6;2;2;1;2;1;1;2;2;2;2;2;2;3;1;6;1;6;2;2;6;6;6;6;6;6;6;6;6;0;6;3;2;2;1;1;1;5;10;2;1;2;9;1;1;3;2;1;3;1;1;2;4;2;1;2;1;6;2;3;4;6;2;3;3;3;3;1;2;1;2;1;2;1;1;10.466;15MAY2024
59159;1;1;1;9;1;6;1;2;2;2;2;2;2;1;2;2;2;3;2;3;1;2;1;2;2;6;1;1;1;1;96;3;3;2;6;6;6;1;4;1;2;2;2;2;2;2;2;1;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;4;3;4;6;2;1;2;1;7;4;1;1;2;1;2;2;1;2;1;3;1;3;1;6;6;6;6;6;6;6;1;6;1;1;2;2;9;9;2;2;1;2;1;2;3;2;10.8083;15MAY2024
59160;1;1;1;5;1;6;1;2;2;2;2;2;2;1;1;1;2;1;2;3;1;2;1;1;2;6;1;1;1;1;96;1;0;2;6;6;6;1;6;2;2;1;1;1;1;2;1;1;2;2;2;3;2;6;1;2;2;2;6;2;1;6;6;6;6;2;2;3;0;0;2;2;2;6;6;96;96;6;6;96;6;6;6;6;6;6;6;6;96;6;1;3;1;1;2;1;1;1;6;6;1;3;3;2;2;1;2;2;2;1;2;1;2;11.2511;15MAY2024
59162;2;1;1;2;2;4;2;6;2;2;2;2;2;1;1;1;2;3;4;6;1;2;1;1;2;6;2;1;1;1;96;4;4;2;1;2;2;6;5;2;1;1;2;2;1;2;1;2;1;2;2;3;1;2;2;6;6;1;6;2;6;2;6;6;9;1;0;4;0;4;6;2;1;2;1;3;2;1;1;1;2;2;2;2;2;1;1;1;4;2;2;3;1;1;1;6;2;1;4;9;2;1;1;1;1;2;2;1;2;1;2;3;1;10.5691;15MAY2024
59163;3;1;1;4;1;6;1;2;2;2;2;2;2;1;1;1;2;1;2;3;1;2;1;1;2;6;3;2;6;2;1;6;6;6;6;6;6;6;6;6;1;2;2;1;1;2;2;2;2;2;2;3;2;1;6;6;1;2;6;6;6;6;6;6;2;6;6;6;6;6;4;2;1;2;2;7;4;1;6;96;6;6;6;1;6;6;6;6;96;6;2;2;1;1;1;6;1;3;3;2;3;1;1;1;1;2;1;2;2;1;2;4;2;10.1688;15MAY2024
59164;2;4;4;1;1;6;1;2;2;2;2;2;2;1;2;1;2;1;3;3;1;2;1;2;2;6;2;2;6;2;1;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;2;2;2;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;1;2;1;5;5;1;1;6;2;2;2;1;2;1;1;1;4;1;6;6;6;6;6;6;6;4;6;2;2;1;1;1;1;2;2;1;1;1;2;5;2;10.8838;15MAY2024
59165;2;1;1;1;1;6;1;2;2;2;2;2;2;1;2;2;2;1;1;4;1;2;4;2;2;6;2;1;1;1;96;3;3;2;6;6;6;1;4;1;2;2;2;2;2;2;1;1;1;2;2;3;2;6;6;6;6;6;6;1;1;2;6;6;6;2;4;4;3;4;6;2;1;2;1;5;5;1;1;5;3;3;3;1;2;2;5;2;3;1;6;6;6;6;6;6;6;3;1;2;2;2;2;3;3;1;2;2;2;1;2;3;1;10.351;15MAY2024
59168;3;3;3;4;1;6;1;2;2;2;2;2;2;1;1;2;2;1;1;5;1;6;1;2;2;6;3;2;6;2;4;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;2;1;2;1;4;5;1;1;1;3;2;2;1;2;2;4;2;5;2;2;2;1;1;1;6;1;1;3;2;3;2;2;1;1;2;1;2;2;3;1;2;2;44.6004;15MAY2024
59169;2;1;1;5;1;6;2;6;2;2;2;2;2;1;1;1;2;2;3;1;1;2;1;2;1;1;2;1;1;1;96;4;3;2;1;2;2;6;3;2;2;2;2;2;1;2;1;2;2;1;1;3;1;6;6;6;6;1;6;2;6;6;2;9;6;2;6;4;6;3;6;2;1;2;1;3;2;1;1;5;0;1;1;1;2;3;1;1;3;1;6;6;6;6;6;6;6;3;6;6;2;1;1;1;1;1;1;2;2;1;2;3;2;10.3036;15MAY2024
59170;2;2;2;5;1;6;1;2;2;2;2;2;2;1;1;1;2;2;3;3;1;2;1;2;2;6;2;2;6;2;4;6;6;6;6;6;6;6;6;6;2;2;2;1;2;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;1;2;1;2;1;3;2;1;1;1;1;1;1;2;2;1;1;1;4;2;1;2;1;2;1;6;3;3;6;1;2;2;2;2;2;1;1;1;2;1;2;3;2;58.2681;15MAY2024
59173;2;4;4;9;1;6;1;2;2;2;2;2;2;1;1;1;2;1;1;1;2;2;1;2;2;6;2;2;6;2;2;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;1;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;2;1;2;1;7;4;1;1;1;2;2;2;1;2;4;4;3;3;1;6;6;6;6;6;6;6;3;2;6;2;3;3;3;3;1;2;2;2;2;1;99;2;17.8564;15MAY2024
59175;1;3;3;2;1;6;1;1;2;2;2;2;2;1;1;1;2;2;2;3;1;1;1;1;2;6;1;1;1;1;96;2;0;2;6;6;6;1;6;2;9;9;9;9;9;9;9;9;9;9;9;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2;1;2;1;1;10;1;1;2;1;2;2;1;2;2;3;1;2;2;2;2;1;1;1;6;3;3;6;1;1;3;3;2;2;1;2;2;2;1;2;2;1;113.5922;15MAY2024
59176;2;4;4;8;1;6;1;2;2;2;2;2;2;1;1;1;2;1;1;1;2;2;1;2;2;6;2;2;6;2;1;6;6;6;6;6;6;6;6;6;2;2;2;1;1;2;2;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;2;1;2;1;1;3;1;1;8;2;2;2;2;2;2;2;3;5;1;6;6;6;6;6;6;6;1;4;2;2;3;3;1;1;2;2;2;2;2;1;5;2;12.1129;15MAY2024
59177;1;4;4;9;1;6;1;2;2;2;2;2;2;1;2;2;2;1;3;3;1;2;1;2;2;6;1;1;1;1;96;2;2;2;6;6;6;1;4;2;9;9;9;9;9;9;9;9;9;9;9;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2;2;6;6;96;96;6;6;96;6;6;6;6;6;6;6;6;96;6;0;6;6;6;6;6;6;2;1;9;1;3;3;3;3;3;2;1;1;2;1;1;2;48.0935;15MAY2024
59178;2;4;4;4;2;4;2;6;2;2;2;2;2;1;1;2;2;3;2;3;1;2;1;1;2;6;2;1;1;1;96;0;0;6;6;6;6;6;6;2;2;2;2;1;1;2;2;2;1;2;2;3;2;6;6;6;2;1;6;6;6;1;6;6;6;6;6;0;6;0;1;2;1;1;1;4;5;1;1;3;0;1;1;1;1;1;2;1;4;2;4;1;1;1;1;6;3;1;6;2;2;9;9;9;9;3;2;2;2;1;2;4;2;19.922;15MAY2024
59179;3;2;3;8;1;6;2;6;2;1;2;2;2;2;1;1;2;1;4;3;1;2;1;1;2;6;3;2;6;2;3;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;2;2;0;0;6;2;1;2;1;4;3;1;1;1;3;2;2;1;2;2;2;1;4;2;3;2;1;1;1;6;1;1;3;2;3;2;2;1;1;2;1;2;2;9;1;1;2;61.3135;15MAY2024
59180;1;1;1;8;1;6;2;6;2;2;2;2;2;1;2;2;2;1;2;1;1;1;1;1;2;6;1;1;1;1;96;3;2;2;6;6;6;1;2;2;9;9;9;9;9;9;9;9;9;9;9;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2;1;2;1;4;3;1;1;2;1;2;2;1;2;1;1;1;2;2;2;2;1;1;1;6;3;3;4;6;1;2;2;2;2;1;1;2;2;1;2;2;2;11.3189;15MAY2024
59182;1;1;1;4;1;6;1;2;2;2;2;2;2;1;1;2;2;1;2;3;1;2;1;2;2;6;1;2;6;2;1;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;2;1;2;1;7;5;1;1;7;1;2;2;1;2;1;4;1;3;1;6;6;6;6;6;6;6;4;6;6;1;1;1;1;1;4;2;1;1;1;2;2;2;11.8737;15MAY2024
59186;3;4;3;9;2;1;2;6;2;2;2;2;2;1;1;2;2;3;2;2;1;2;1;2;2;6;3;2;6;2;6;6;6;6;6;6;6;6;6;6;2;2;2;2;1;2;2;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;1;2;1;5;4;1;1;1;2;1;1;2;2;3;2;1;5;2;2;1;2;1;6;6;2;1;6;9;3;1;1;1;1;4;2;2;2;1;2;5;1;10.9444;15MAY2024
59188;1;3;3;9;1;6;1;3;2;2;2;2;2;1;2;2;2;3;3;2;1;1;1;1;1;1;1;1;1;1;96;2;4;2;6;6;6;1;4;2;2;1;2;1;2;2;2;2;2;2;2;3;1;6;1;6;2;6;6;6;6;6;6;6;6;6;6;2;6;4;1;2;1;2;1;7;4;2;1;1;1;2;2;1;1;1;1;1;1;2;2;2;1;2;1;6;1;3;5;6;1;1;1;1;1;1;2;2;2;1;2;1;2;227.6802;15MAY2024
59190;1;4;4;8;1;6;1;2;2;2;2;2;2;1;1;2;2;2;8;1;1;2;5;1;1;1;1;1;1;1;96;3;2;2;6;6;6;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;6;2;6;2;1;2;1;6;10;1;1;1;1;2;2;1;2;1;1;1;2;1;6;6;6;6;6;6;6;1;6;1;1;3;3;1;1;1;1;2;2;1;2;3;2;10.87;15MAY2024
59191;3;2;2;5;2;1;1;2;2;2;2;2;2;1;1;2;2;1;1;3;1;2;1;2;2;6;3;2;6;2;1;6;6;6;6;6;6;6;6;6;2;2;2;2;1;2;2;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;1;2;1;3;2;1;1;1;2;1;1;1;1;1;1;1;4;1;6;6;6;6;6;6;6;1;6;3;3;1;1;1;1;3;1;1;1;2;1;4;2;11.8379;15MAY2024
